song_key,song_title,is_cover,n_plays,n_shows,first_played,last_played,album,n_videos
Only Takes a Few,Only Takes a Few,True,14,14,2024-04-06,2024-04-22,"Tick, tick... BOOM! (Soundtrack from the Netflix Film)",0
Adultery,Adultery,False,14,14,1995-09-21,2025-09-18,Undercard,1
Peacocks,Peacocks,False,14,14,2003-10-04,2016-02-28,Tallahassee,2
Pure Heat,Pure Heat,False,14,14,1995-01-15,2024-04-13,Why You All So Thief?,3
Young Caesar 2000,Young Caesar 2000,False,13,13,1997-06-14,2025-11-06,Zopilote Machine,1
Store,Store,False,13,13,2002-07-24,2024-10-08,Jam Eater Blues EP,0
The Plague,The Plague,False,13,13,2001-07-19,2022-05-11,Unreleased,1
Bring Our Curses Home,Bring Our Curses Home,False,13,13,2008-10-17,2008-11-09,Black Pear Tree EP,3
Alpha Desperation March,Alpha Desperation March,False,13,13,1992-12-27,2023-09-19,Transmissions to Horace,0
Counterfeit Florida Plates,Counterfeit Florida Plates,False,13,13,2012-01-21,2017-06-21,Transcendental Youth,2
Alpha Chum Gatherer,Alpha Chum Gatherer,False,13,13,2013-06-03,2013-06-28,Unreleased,2
From the Nebraska Plant,From the Nebraska Plant,False,13,13,2024-04-05,2024-07-31,Jenny from Thebes,0
Short Song About the 10 Freeway,Short Song About the 10 Freeway,False,13,13,1994-08-22,2021-03-31,Songs for Peter Hughes,1
Spilling Toward Alpha,Spilling Toward Alpha,False,12,12,1992-07-22,2025-11-06,The Hound Chronicles,1
Waco,Waco,False,12,12,2001-02-10,2023-04-17,All Hail West Texas (2013 Reissue),1
Orange Ball of Pain,Orange Ball of Pain,False,12,12,1996-01-15,2024-12-02,Nothing for Juice,0
Shirtless in Hamburg,Shirtless in Hamburg,False,12,12,2024-01-18,2024-02-01,Marsh Witch Visions,0
Stars Around Her,Stars Around Her,False,12,12,1995-04-20,2024-04-09,Songs About Fire,0
New Chevrolet in Flames,New Chevrolet in Flames,False,12,12,2017-10-08,2018-05-29,See America Right EP,1
Baltimore,Baltimore,False,12,12,2000-03-05,2010-10-23,Martial Arts Weekend,1
The Pig Song,The Pig Song,False,12,12,2014-04-16,2025-08-11,Unreleased,2
Alibi,Alibi,False,12,12,2006-06-14,2017-10-05,Babylon Springs EP,1
The Lady from Shanghai,The Lady from Shanghai,False,12,12,2006-06-13,2025-12-06,Songs for Petronius,1
Handball,Handball,False,12,12,1998-04-04,2009-12-02,Our Salvation Is in Hand,0
Fresh Berries for You,Fresh Berries for You,False,12,12,1996-03-20,2022-12-05,Chile de Árbol,0
The Water Song,The Water Song,False,12,12,1994-08-18,2024-12-10,The Hound Chronicles,1
Memories,Memories,True,12,12,2000-03-05,2024-04-16,Martial Arts Weekend,2
Alpha Sun Hat,Alpha Sun Hat,False,11,11,1994-08-18,2023-02-10,Zopilote Machine,0
Going to Michigan,Going to Michigan,False,11,11,2000-03-05,2026-05-22,Martial Arts Weekend,0
Un Rêve Plus Long Que la Nuit,Un Rêve Plus Long Que la Nuit,False,11,11,1995-01-15,2025-09-29,Gold Kiss Gala: I'll Wed You,4
Nine Black Poppies,Nine Black Poppies,False,11,11,1997-11-14,2025-08-11,Nine Black Poppies EP,1
Shallow Grave,Shallow Grave,False,11,11,2026-04-13,2026-05-26,Days,0
Alpha Negative,Alpha Negative,False,11,11,1994-08-23,2025-11-06,The Hound Chronicles,0
The Bad Doctor,The Bad Doctor,False,11,11,1992-12-06,2015-10-03,Songs for Petronius,0
Fault Lines,Fault Lines,False,11,11,2001-07-19,2026-05-17,All Hail West Texas,0
If You See Light,If You See Light,False,11,11,2006-08-21,2023-02-15,Get Lonely,0
Going to Maine,Going to Maine,False,11,11,1996-01-18,2023-07-10,Hardcore Acoustic,2
Song for Dana Plato,Song for Dana Plato,False,11,11,2009-11-21,2014-04-15,Songs for Peter Hughes,1
Song for Mark and Joel,Song for Mark and Joel,False,11,11,2013-06-03,2013-10-16,Beautiful Rat Sunset,2
Distant Stations,Distant Stations,False,11,11,2007-06-17,2026-05-17,All Hail West Texas,0
The Destruction of the Kola Superdeep Borehole Tower,The Destruction of the Kola Superdeep Borehole Tower,False,11,11,2021-08-06,2021-10-20,Dark in Here,0
Standard Bitter Love Song #4,Standard Bitter Love Song #4,False,11,11,1992-07-22,2006-08-22,The Hound Chronicles,0
Seed Song,Seed Song,False,11,11,1999-07-23,2025-09-19,"Yam, the King of Crops",2
Columns Pillars Steps,Columns Pillars Steps,False,11,11,2009-03-18,2009-04-06,Moon Colony Bloodbath,2
We Shall All Be Healed (Song),We Shall All Be Healed (Song),False,11,11,2010-06-15,2019-11-15,Unreleased,0
Pet Politics,Pet Politics,True,11,11,2005-06-23,2019-08-08,The Believer 2005 CD,2
Going to Lebanon,Going to Lebanon,False,11,11,1992-12-06,2022-04-28,Zopilote Machine,1
Doctor Wu,Doctor Wu,True,10,10,1996-03-14,2011-06-16,Unreleased,1
Night of the Mules,Night of the Mules,False,10,10,1996-03-23,2024-05-25,Chile de Árbol,1
How I Left the Ministry,How I Left the Ministry,False,10,10,2002-07-24,2010-10-23,Undercard,0
The Irony Engine,The Irony Engine,True,10,10,1996-03-16,2007-05-11,Unreleased,0
Here I Am,Here I Am,True,10,10,2008-10-24,2025-12-03,Unreleased,0
Song for Sasha Banks,Song for Sasha Banks,False,10,10,2018-08-30,2018-09-13,Song for Sasha Banks,1
Genesis 19:1-2,Genesis 19:1-2,False,10,10,2004-07-17,2025-09-19,Devil in the Shortwave,0
Tianchi Lake,Tianchi Lake,False,10,10,2013-06-03,2019-11-24,Heretic Pride,2
For the Krishnacore Bands,For the Krishnacore Bands,False,10,10,2017-07-03,2025-12-14,Unreleased,4
Raid on Entebbe,Raid on Entebbe,False,10,10,1997-07-16,2025-12-06,Jack and Faye,0
Going to Mexico,Going to Mexico,False,10,10,1992-07-18,2009-03-21,The Hound Chronicles,0
The New Hydra Collection,The New Hydra Collection,False,9,9,2021-08-07,2022-09-11,Dark in Here,0
Third Snow Song,Third Snow Song,False,9,9,1996-01-18,2025-11-29,Philyra,3
Going to Utrecht,Going to Utrecht,False,9,9,2001-08-03,2024-08-03,Nine Black Poppies EP,0
Going to Chino,Going to Chino,False,9,9,1992-07-18,2020-02-22,The Hound Chronicles,0
Insurance Fraud Number 2,Insurance Fraud Number 2,False,9,9,2019-04-28,2019-05-15,The Coroner's Gambit,0
Quetzalcoatl is Born,Quetzalcoatl is Born,False,9,9,1996-03-14,2019-11-20,Zopilote Machine,0
Charlie Sheen Reaches Out to the Feds,Charlie Sheen Reaches Out to the Feds,False,9,9,2026-05-15,2026-05-26,Days,0
Alabama Nova,Alabama Nova,False,9,9,1995-01-15,2004-10-18,Nothing for Juice,0
Feed This End,Feed This End,False,9,9,1992-12-06,2022-08-31,Hot Garden Stomp,0
In the Shadow of the Western Hills,In the Shadow of the Western Hills,False,9,9,2012-03-24,2012-10-11,Steal Smoked Fish (EP),0
Solomon Revisited,Solomon Revisited,False,9,9,1992-07-22,2022-09-22,Taboo VI: The Homecoming,0
Same as Cash,Same as Cash,False,9,9,2023-09-19,2024-08-04,Jenny from Thebes,0
Heel Turn 1,Heel Turn 1,False,9,9,2014-01-19,2024-10-08,Unreleased,2
For the Portuguese Goth Metal Bands,For the Portuguese Goth Metal Bands,False,8,8,2026-05-15,2026-05-26,Goths,0
Going to Monaco,Going to Monaco,False,8,8,2001-04-21,2014-06-14,Transmissions to Horace,3
Keeping House,Keeping House,False,8,8,2007-06-16,2024-01-31,Get Lonely,0
The Black Ice Cream Song,The Black Ice Cream Song,False,8,8,1994-08-18,2002-03-10,Zopilote Machine,0
The Anglo-Saxons,The Anglo-Saxons,False,8,8,1996-03-20,2022-05-21,The Basement Tapes: Live Recordings at KSPC 1989-1995,1
Wizard Buys a Hat,Wizard Buys a Hat,False,8,8,2008-05-16,2023-08-09,Satanic Messiah EP,0
Evening in Stalingrad,Evening in Stalingrad,False,8,8,1998-10-10,2009-11-18,Full Force Galesburg,0
Bleed Out (song),Bleed Out (song),False,8,8,2022-08-25,2026-04-11,Bleed Out,0
Need More Bandages,Need More Bandages,False,8,8,2026-05-15,2026-05-26,Bleed Out,0
Balance,Balance,False,8,8,2002-03-08,2021-09-26,All Hail West Texas,0
Duke Ellington,Duke Ellington,False,8,8,1994-08-22,2025-09-22,The Long Secret,0
I Wonder Where Our Love Has Gone,I Wonder Where Our Love Has Gone,True,8,8,1997-04-04,2005-06-18,Sweden,0
"Hello, Old Rabbit","Hello, Old Rabbit",False,8,8,1996-03-16,2012-10-09,"Hail and Farewell, Gothenburg",1
Pale Green Things,Pale Green Things,False,8,8,2005-05-08,2021-10-23,The Sunset Tree,1
Plain,Plain,True,7,7,2011-03-24,2011-04-12,Unreleased,2
The Last Limit of Bhakti,The Last Limit of Bhakti,False,7,7,2009-03-27,2026-05-21,Isopanisad Radio Hour,0
Home Again Garden Grove,Home Again Garden Grove,False,7,7,2011-03-29,2011-06-21,We Shall All Be Healed,3
Willin',Willin',True,7,7,2014-01-19,2015-10-10,Unreleased,1
Programmed Cell Death,Programmed Cell Death,False,7,7,2007-05-11,2024-11-30,Undercard,0
Friend of the Devil,Friend of the Devil,True,7,7,2013-05-01,2026-05-16,Unreleased,1
The Lady from Shanghai 2,The Lady from Shanghai 2,False,7,7,2025-12-06,2025-12-14,Through This Fire Across From Peter Balkan,0
The Window Song,The Window Song,False,7,7,1996-03-16,2022-09-22,Pawnshop Reverb,0
Tyler Lambert's Grave,Tyler Lambert's Grave,False,7,7,2011-06-14,2011-06-24,Unreleased,3
Orange Ball of Peace,Orange Ball of Peace,False,7,7,1995-01-15,2014-06-13,Taking the Dative,1
Somebody Else's Parking Lot in Sebastopol,Somebody Else's Parking Lot in Sebastopol,False,6,6,2000-02-06,2003-08-23,Martial Arts Weekend,0
Birthday Song: This Time Has Gone,Birthday Song: This Time Has Gone,False,6,6,1996-01-15,2024-07-26,Unreleased,0
Orange,Orange,True,6,6,2004-02-01,2005-05-08,Unreleased,1
Star Dusting,Star Dusting,False,6,6,1992-12-27,2022-09-02,Transmissions to Horace,2
Blood Royal,Blood Royal,False,6,6,1996-09-03,2025-09-22,"Orange Raja, Blood Royal",0
The Only Thing I Know,The Only Thing I Know,False,6,6,1996-09-11,2024-10-20,"Orange Raja, Blood Royal",0
Bride,Bride,False,6,6,2012-03-24,2014-04-19,Unreleased,2
That Hippolytine Feeling,That Hippolytine Feeling,False,6,6,1992-10-01,2021-08-08,Unreleased,0
Standard Bitter Love Song #1,Standard Bitter Love Song #1,False,6,6,1993-03-07,2024-12-01,Unreleased,0
Cut Off Their Thumbs #1,Cut Off Their Thumbs #1,False,6,6,2004-04-20,2018-08-31,Unreleased,0
Going to Dade County,Going to Dade County,False,6,6,1994-08-18,2013-06-24,Unreleased,1
Lido Shuffle,Lido Shuffle,True,6,6,2025-07-26,2025-08-04,Unreleased,1
Abide with Me,Abide with Me,True,6,6,2007-09-27,2025-10-02,Isopanisad Radio Hour,1
Home on the Range,Home on the Range,True,6,6,2015-06-04,2016-05-12,Unreleased,0
Happy Birthday,Happy Birthday,True,6,6,2008-10-25,2023-04-18,Unreleased,1
We Have Seen the Enemy,We Have Seen the Enemy,False,6,6,2000-10-16,2024-03-02,Zopilote Machine,0
Gravedigger,Gravedigger,False,6,6,1995-09-21,2010-10-23,Extra Walt,1
It's All Here in Brownsville,It's All Here in Brownsville,False,6,6,2002-03-08,2023-09-19,Full Force Galesburg,1
US Mill,US Mill,False,6,6,1997-06-22,2023-10-13,Full Force Galesburg,1
Deianara Crush,Deianara Crush,False,6,6,1994-08-22,2021-09-24,Sweden,0
Rockin' Rockin' Twilight of the Gods,Rockin' Rockin' Twilight of the Gods,False,6,6,1992-12-06,2010-10-21,Undercard,0
Used to Haunt,Used to Haunt,False,6,5,2012-06-23,2019-11-20,All Eternals Deck,1
Beach House,Beach House,False,6,6,1997-04-04,2009-04-01,Hot Garden Stomp,1
Going to Kirby Sigston,Going to Kirby Sigston,False,6,6,1996-11-07,2021-08-08,Hey Dan K.,0
"If England Were What England Seems, Then We Would Only Have Our Dreams","If England Were What England Seems, Then We Would Only Have Our Dreams",False,5,5,1996-01-18,2002-03-10,Unreleased,0
FM,FM,True,5,5,1998-07-31,2010-12-14,Sweden,0
Lonesome Surprise,Lonesome Surprise,True,5,5,1995-04-19,2013-10-14,Nine Black Poppies EP,0
Sun Song,Sun Song,False,5,5,1997-06-20,2017-11-07,Hot Garden Stomp,0
Crows,Crows,False,5,5,2007-01-03,2025-09-20,Devil in the Shortwave,0
I Hear the Planets,I Hear the Planets,False,5,5,1995-09-21,2010-10-21,Fantasy Band,0
Boxcar,Boxcar,True,5,5,2011-06-07,2011-06-24,Unreleased,1
New World Emerging Blues,New World Emerging Blues,False,5,5,2004-03-27,2005-03-04,Unreleased,0
The Last Day of Jimi Hendrix's Life,The Last Day of Jimi Hendrix's Life,False,5,5,2008-05-16,2024-12-01,Cool Beans! Number 4,0
Going to Morocco,Going to Morocco,False,5,5,1992-12-06,2010-10-23,Martial Arts Weekend,0
Emerging,Emerging,False,5,5,2009-03-19,2009-03-30,Moon Colony Bloodbath,0
Song for Cleomenes,Song for Cleomenes,False,5,5,1994-08-22,2001-06-23,Beautiful Rat Sunset,0
Standing in Need of Prayer,Standing in Need of Prayer,True,5,5,2013-01-20,2024-10-07,Unreleased,0
Then the Letting Go,Then the Letting Go,False,5,5,1995-04-15,1997-04-04,Nothing for Juice,0
Butter Teeth,Butter Teeth,False,5,5,2003-04-04,2004-07-17,Palmcorder Yajna (EP),0
Dogs of Clinic 17,Dogs of Clinic 17,False,5,5,2010-10-19,2010-10-23,Undercard,0
Sail On,Sail On,True,5,5,1992-12-27,2014-06-14,Transmissions to Horace,0
In Corolla,In Corolla,False,4,4,2006-09-20,2012-04-19,Get Lonely,0
"Ice Cream, Cobra Man","Ice Cream, Cobra Man",False,4,4,2009-04-02,2025-09-26,Taboo VI: The Homecoming,0
I Will Survive,I Will Survive,True,4,4,2004-10-08,2016-10-26,Unreleased,1
I Will Grab You by the Ears,I Will Grab You by the Ears,False,4,4,2022-08-28,2024-04-17,Nothing for Juice,0
Only Existing Footage,Only Existing Footage,False,4,4,2010-10-19,2010-10-23,Undercard,0
In the Cane Fields,In the Cane Fields,False,4,4,1992-07-18,2019-09-05,Unreleased,1
Rainbow in the Dark,Rainbow in the Dark,True,4,4,2010-05-16,2016-04-19,Unreleased,0
All Devils Here Now,All Devils Here Now,False,4,4,2003-02-01,2023-09-19,Unreleased,0
Calling Out Your Name,Calling Out Your Name,True,4,4,2021-09-18,2026-05-26,Unreleased,0
Going to Bridlington,Going to Bridlington,False,4,4,1996-11-07,2009-03-20,Unreleased,0
Hello Sarah,Hello Sarah,False,4,4,2009-03-21,2026-05-26,Unreleased,0
Civilian,Civilian,True,4,4,2012-10-09,2012-10-15,Unreleased,2
Heartland Feeling,Heartland Feeling,True,4,4,2007-01-07,2007-05-05,Unreleased,0
Abandoning My Father Talking Blues,Abandoning My Father Talking Blues,False,4,4,2009-06-13,2022-05-06,unreleased,0
Quetzalcoatl Comes Through,Quetzalcoatl Comes Through,False,4,4,1996-11-11,2023-02-19,"Yam, the King of Crops",1
Down Here,Down Here,False,4,4,1997-06-14,2017-09-08,Full Force Galesburg,0
Edvard Munch,Edvard Munch,False,4,4,1996-11-22,2001-04-21,Unreleased,0
Sometimes I Still Feel the Bruise,Sometimes I Still Feel the Bruise,True,4,4,2016-04-01,2016-04-04,Babylon Springs EP,0
Pink and Blue,Pink and Blue,False,4,4,2014-01-19,2022-12-05,All Hail West Texas,0
Ethiopians,Ethiopians,False,4,4,2007-06-13,2020-02-22,Unreleased,0
Cruiserweights,Cruiserweights,False,4,4,2010-10-19,2010-10-23,Undercard,0
Sarcofago Live,Sarcofago Live,False,4,4,2008-09-15,2009-10-15,Satanic Messiah EP,1
When a Powerful Animal Comes,When a Powerful Animal Comes,False,4,4,2021-10-14,2021-10-20,Dark in Here,0
When I Get Home,When I Get Home,True,4,4,2002-12-06,2003-02-01,Unreleased,0
Song for Roger Maris,Song for Roger Maris,False,4,4,1998-07-31,2024-10-13,Unreleased,1
Send Me an Angel,Send Me an Angel,False,4,4,1996-09-11,2010-12-14,Sweden,0
Rockin' Rockin' Pet Store,Rockin' Rockin' Pet Store,False,4,4,1992-12-06,2004-10-04,Unreleased,0
Green Olives,Green Olives,False,4,4,1996-11-09,2023-02-11,Unreleased,0
Shave My Eyebrows,Shave My Eyebrows,False,4,4,2022-12-05,2025-11-29,Unreleased,0
Badger Song,Badger Song,False,4,4,1998-04-23,2010-10-20,High Fly Graveyard,0
Full Flower,Full Flower,False,4,4,1996-11-09,2022-04-28,Nothing for Juice,0
Shot in the Dark,Shot in the Dark,True,4,4,2012-09-07,2015-04-12,Or Thousands of Prizes,1
Trash,Trash,True,4,4,1996-11-07,1998-06-14,Unreleased,0
Tell Me on a Sunday,Tell Me on a Sunday,True,4,4,1996-11-10,2009-04-01,Hot Garden Stomp,0
Ultraviolet,Ultraviolet,False,4,4,2000-10-19,2003-03-14,Martial Arts Weekend,0
Counting Song for Bitter Children,Counting Song for Bitter Children,False,4,4,2016-11-21,2024-03-01,Unreleased,0
There Is Power in a Union,There Is Power in a Union,True,4,4,1998-05-15,2024-10-15,Unreleased,1
Last Gasp at Calama,Last Gasp at Calama,False,4,4,2020-06-15,2021-10-25,Songs for Pierre Chuvin,0
Letter from a Motel,Letter from a Motel,False,4,4,1999-01-27,2019-09-04,Unreleased,0
This Magic Moment,This Magic Moment,True,4,4,2009-04-02,2016-02-24,Taboo VI: The Homecoming,2
Bluejays and Cardinals,Bluejays and Cardinals,False,4,4,2005-05-04,2020-02-21,The Coroner's Gambit,1
Born Ready,Born Ready,False,4,4,1999-01-27,2024-11-30,Isopanisad Radio Hour,0
Scavenger Babies,Scavenger Babies,False,3,3,2003-06-27,2022-07-11,Unreleased,1
Against Agamemnon,Against Agamemnon,False,3,3,2008-03-19,2024-04-12,Bitter Melon Farm,1
Pure Money,Pure Money,False,3,3,1997-06-20,2007-09-21,Nine Black Poppies EP,0
Xolo,Xolo,False,3,3,2007-10-02,2017-06-02,The Seneca Twins (Tape),1
The Coast of High Barbary,The Coast of High Barbary,True,3,3,2014-04-20,2015-11-20,Unreleased,1
The Car Song,The Car Song,False,3,3,1992-12-13,1997-06-21,Unreleased,0
The Cow Song,The Cow Song,False,3,3,1992-12-06,2006-09-21,The Hound Chronicles,1
Earth Air Water Trees,Earth Air Water Trees,False,3,3,2009-04-04,2023-12-10,Tropical Depression EP,0
Get Famous,Get Famous,False,3,3,2021-01-08,2021-10-26,Getting Into Knives,1
Going to Malibu,Going to Malibu,False,3,3,2016-02-28,2022-09-20,Chile de Árbol,0
Some Other Way,Some Other Way,False,3,3,2010-10-19,2010-10-23,Undercard,0
Process of Elimination,Process of Elimination,False,3,3,1992-12-06,1998-10-10,The Long Secret,0
Love Hymn to Aphrodite,Love Hymn to Aphrodite,False,3,3,1998-07-31,2025-11-06,Hot Garden Stomp,0
Going to Maryland,Going to Maryland,False,3,3,1995-04-15,2022-11-11,Beautiful Rat Sunset,0
Proverbs 6:27,Proverbs 6:27,False,3,3,2009-03-21,2018-05-28,The Life of the World to Come,1
"You, Sailor","You, Sailor",True,3,3,2014-04-15,2014-04-17,Unreleased,1
Duane Allman Slept Here,Duane Allman Slept Here,False,3,3,2018-09-13,2019-11-11,unreleased,0
Rescue Breathing,Rescue Breathing,False,3,3,2020-02-20,2025-12-14,unreleased,0
Letter from Belgium (Song),Letter from Belgium (Song),False,3,3,2004-04-02,2010-04-11,We Shall All Be Healed,0
Snow Owl,Snow Owl,False,3,3,2017-12-04,2021-08-24,Full Force Galesburg,0
Pure Sun,Pure Sun,False,3,3,1994-08-23,2017-06-28,Unreleased,0
Beat the Devil,Beat the Devil,False,3,3,2022-05-19,2025-09-18,Comes with a Smile 11: Hope Isn't a Word,0
O Bless the Lord,O Bless the Lord,True,3,3,2015-09-12,2016-03-25,Unreleased,0
My Dinner Plate Has a Cat On It,My Dinner Plate Has a Cat On It,False,3,3,2016-02-24,2016-09-01,Unreleased,0
Babylon Burning,Babylon Burning,True,3,3,2007-06-13,2008-03-20,Unreleased,0
Rat Queen,Rat Queen,False,3,3,2021-04-18,2021-08-18,Getting Into Knives,1
Real Good Girlfriend,Real Good Girlfriend,False,3,3,1996-02-26,1996-11-09,Unreleased,0
The Moon Song,The Moon Song,False,3,3,1992-07-18,1995-04-15,Unreleased,0
Good Morning to All Vultures,Good Morning to All Vultures,False,3,3,2014-02-28,2018-05-29,Unreleased,0
Ambivalent Seascape Y,Ambivalent Seascape Y,False,3,3,1995-09-21,2000-10-16,Martial Arts Weekend,0
Fortune Came Today,Fortune Came Today,True,3,3,1996-11-09,2017-05-31,Unreleased,2
Sweet Jane,Sweet Jane,True,3,3,2025-09-29,2025-12-14,Unreleased,0
Tall Tall Trees,Tall Tall Trees,True,3,3,2013-01-20,2023-04-22,Unreleased,0
Milk Song,Milk Song,False,3,3,2010-12-14,2020-02-22,"Hail and Farewell, Gothenburg",1
Tampa,Tampa,False,3,3,1998-04-04,1999-01-30,Unreleased,0
Hellhound on My Trail,Hellhound on My Trail,True,3,3,1996-11-10,1996-11-13,Nothing for Juice,0
Idylls of the Kings,Idylls of the Kings,False,3,3,2002-10-09,2013-06-08,Tallahassee,0
Going to Reykjavik,Going to Reykjavik,False,3,3,1997-06-17,2009-11-21,Nothing for Juice,1
Hand of Death,Hand of Death,False,3,3,2018-08-10,2020-02-20,Cardinals At The Window,0
I'm So Lonesome I Could Cry,I'm So Lonesome I Could Cry,True,3,3,2001-02-10,2003-09-27,Taboo VI: The Homecoming,0
Twelve Hands High,Twelve Hands High,False,3,3,2010-10-19,2010-10-23,Martial Arts Weekend,0
Alpha Aquae,Alpha Aquae,False,3,3,1992-12-06,2000-03-05,Unreleased,1
Tribe of the Horned Heart,Tribe of the Horned Heart,False,3,3,2012-03-24,2015-05-30,Unreleased,1
All Frosting,All Frosting,False,3,3,2002-02-27,2003-03-14,Unreleased,0
Blues in Dallas,Blues in Dallas,False,3,3,2000-10-19,2015-06-08,All Hail West Texas,0
Parisian Enclave,Parisian Enclave,False,3,3,2021-10-14,2021-10-18,Dark in Here,0
Song from the Shoreline,Song from the Shoreline,False,3,3,1994-08-23,1995-04-12,Unreleased,0
Song for Tura Satana,Song for Tura Satana,False,3,3,2005-11-04,2016-02-28,Zopilote Machine,1
Unmasked!,Unmasked!,False,3,3,2015-04-02,2015-06-03,Beat the Champ,0
Keep It on Your Mind,Keep It on Your Mind,True,3,3,2006-08-10,2019-11-24,The Hound Chronicles,0
Sixteen Tons,Sixteen Tons,True,2,2,2013-01-20,2018-05-27,Unreleased,0
Sixty Percent Wolf,Sixty Percent Wolf,False,2,2,2016-12-04,2021-08-16,Unreleased,0
Heights,Heights,False,2,2,2012-06-23,2015-06-02,Nothing for Juice,0
Cold Milk Bottle,Cold Milk Bottle,False,2,2,1997-06-17,2007-05-11,Sweden,0
Ambivalent Landscape Z,Ambivalent Landscape Z,False,2,2,2010-10-19,2010-10-21,Undercard,0
The Ultimate Jedi Who Wastes All the Other Jedi and Eats Their Bones,The Ultimate Jedi Who Wastes All the Other Jedi and Eats Their Bones,False,2,2,2017-12-14,2020-02-21,Unreleased,0
The World's Greatest,The World's Greatest,False,2,2,2008-03-18,2010-05-16,Unreleased,0
Bad Company,Bad Company,True,2,2,2015-01-25,2016-04-16,Unreleased,0
Are Friends Electric?,Are Friends Electric?,False,2,1,1996-02-26,1996-02-26,Unreleased,0
Treetop Song,Treetop Song,False,2,2,2009-04-06,2021-09-18,New Asian Cinema,1
Any Available Surface,Any Available Surface,False,2,2,2009-02-25,2009-03-18,Unreleased,0
Two-Headed Boy,Two-Headed Boy,True,2,2,1999-10-09,2001-10-19,Unreleased,0
Until Olympius Returns,Until Olympius Returns,False,2,2,2021-04-19,2021-10-15,Songs for Pierre Chuvin,0
Cobra Tattoo,Cobra Tattoo,False,2,2,2006-09-19,2006-09-29,Get Lonely,0
Warm Lonely Planet,Warm Lonely Planet,False,2,2,2019-07-22,2020-02-21,unreleased,0
We Bite,We Bite,True,2,1,2007-11-15,2007-11-15,Unreleased,0
When Dinosaurs Roamed,When Dinosaurs Roamed,False,2,2,2016-02-27,2016-04-13,Unreleased,0
Wild Palm City,Wild Palm City,False,2,2,2021-09-21,2024-10-11,"Back to the Egg, Asshole",0
Wishing the House Would Crash,Wishing the House Would Crash,False,2,2,1995-04-20,2019-09-04,Unreleased,1
With Their Flesh He Will Create,With Their Flesh He Will Create,True,2,2,2012-09-07,2020-02-21,unreleased,0
With a Little Help from My Friends,With a Little Help from My Friends,True,2,2,2016-02-27,2016-12-16,Unreleased,0
The Pieman,The Pieman,False,2,2,1992-12-27,2016-04-16,A Munchies Kinda Xmas,0
The Moon,The Moon,False,2,2,1995-09-21,1998-10-10,Unreleased,0
Beyond the Mysterious Beyond,Beyond the Mysterious Beyond,True,2,2,2015-04-02,2015-04-11,Unreleased,1
Big Yellow Taxi,Big Yellow Taxi,True,2,2,2014-06-27,2016-02-25,Unreleased,0
Chino Love Song 1979,Chino Love Song 1979,False,2,2,2012-09-07,2014-06-13,Taking the Dative,0
Somebody Else's Parking Lot in Santa Cruz,Somebody Else's Parking Lot in Santa Cruz,False,2,2,1999-10-09,2000-03-05,Martial Arts Weekend,0
Chinese House Flowers,Chinese House Flowers,False,2,2,1996-09-11,2017-11-13,Full Force Galesburg,0
Casetino's Nursery,Casetino's Nursery,False,2,2,1995-01-15,2009-11-14,Unreleased,2
St. Stephen,St. Stephen,True,2,2,2015-04-12,2017-06-01,Unreleased,2
Stack Em Up,Stack Em Up,False,2,2,2021-08-06,2021-08-11,unreleased,0
Standard Bitter Love Song #8,Standard Bitter Love Song #8,False,2,2,2014-06-13,2014-06-13,Taking the Dative,0
Calcutta,Calcutta,False,2,2,1996-11-09,1996-11-09,Unreleased,0
Brisbane Hotel Sutra,Brisbane Hotel Sutra,False,2,2,2014-02-28,2014-04-19,All Eternals Deck,1
Sudden Oak Death,Sudden Oak Death,False,2,2,2009-03-18,2009-04-06,Moon Colony Bloodbath,0
Superheroes,Superheroes,True,2,2,2011-10-29,2014-06-20,Unreleased,2
"Sure Do Love You Baby, But I Can't Do 60 No More","Sure Do Love You Baby, But I Can't Do 60 No More",False,2,2,2000-02-06,2019-07-18,Unreleased,1
Terminal Grain,Terminal Grain,False,2,2,1995-09-21,2000-03-05,Martial Arts Weekend,0
The Doll Song,The Doll Song,False,2,2,1992-12-13,1998-10-10,Unreleased,0
The Garden Song,The Garden Song,False,2,2,2006-12-02,2024-08-07,The Hound Chronicles,1
The Coroner’s Gambit,The Coroner’s Gambit,False,2,2,2019-08-08,2019-08-10,The Coroner's Gambit,1
Saigon Shrunken Panorama,Saigon Shrunken Panorama,False,2,2,1997-06-22,2021-09-16,Acuarela Songs,0
Milkcrate,Milkcrate,True,2,2,1995-09-21,1996-01-18,Unreleased,0
Last Man on Earth,Last Man on Earth,False,2,2,2007-09-20,2009-03-18,Heretic Pride,1
Fit Alpha Vi,Fit Alpha Vi,False,2,2,2000-03-05,2000-10-16,Martial Arts Weekend,0
I Think I'll Just Stay Here and Drink,I Think I'll Just Stay Here and Drink,True,2,2,1999-01-27,2016-10-03,Unreleased,0
Moon and Sand,Moon and Sand,True,2,2,1995-04-19,2002-10-04,Nothing for Juice,0
Just a Closer Walk with Thee,Just a Closer Walk with Thee,True,2,2,2017-07-13,2017-09-09,Unreleased,0
From the Lake Trials,From the Lake Trials,False,2,2,2017-09-10,2020-02-21,From the Lake Trials EP,0
Pure Love,Pure Love,False,2,2,1995-04-12,2016-10-26,Songs for Petronius,0
