song_key,song_title,is_cover,n_plays,n_shows,first_played,last_played,album,n_videos
Insurance Fraud #2,Insurance Fraud #2,False,1,1,2007-06-17,2007-06-17,The Coroner's Gambit,0
Going to Tennessee,Going to Tennessee,False,1,1,2008-10-15,2008-10-15,Why You All So Thief?,0
Mamas Don't Let Your Babies Grow Up to Be Cowboys,Mamas Don't Let Your Babies Grow Up to Be Cowboys,True,1,1,2015-06-08,2015-06-08,Unreleased,0
In the Craters of the Moon,In the Craters of the Moon,False,1,1,2014-02-26,2014-02-26,Heretic Pride,0
In League With Dragons,In League With Dragons,False,1,1,2019-07-22,2019-07-22,In League with Dragons,0
Wait for You,Wait for You,False,1,1,2017-04-07,2017-04-07,Babylon Springs EP,0
Improv Song,Improv Song,False,1,1,2009-12-16,2009-12-16,Unreleased,0
Water Song II,Water Song II,False,1,1,2016-04-17,2016-04-17,Hot Garden Stomp,0
Hail St. Sebastian,Hail St. Sebastian,False,1,1,2012-03-24,2012-03-24,Unreleased,0
All of You,All of You,False,1,1,2020-02-20,2020-02-20,unreleased,0
We Don't Need the Men,We Don't Need the Men,True,1,1,2016-12-16,2016-12-16,Unreleased,0
I Rule the Ruins,I Rule the Ruins,True,1,1,2014-06-27,2014-06-27,Unreleased,0
I Put a Spell on You,I Put a Spell on You,True,1,1,2004-10-15,2004-10-15,Unreleased,0
All for the Best,All for the Best,False,1,1,2023-10-07,2023-10-07,Unreleased,0
"I Love You, Let's Light Ourselves on Fire","I Love You, Let's Light Ourselves on Fire",False,1,1,2009-03-25,2009-03-25,"Hail and Farewell, Gothenburg",0
Werewolves of London,Werewolves of London,False,1,1,2015-10-09,2015-10-09,Unreleased,0
What Have You Done to the Magician?,What Have You Done to the Magician?,False,1,1,2021-09-09,2021-09-09,Unreleased,0
I Hope You Dance,I Hope You Dance,True,1,1,2015-09-10,2015-09-10,Unreleased,0
I Am Morris Townsend,I Am Morris Townsend,True,1,1,2006-08-10,2006-08-10,Redux,0
Aisles,Aisles,False,1,1,2001-04-21,2001-04-21,Jam Eater Blues (EP),0
Malted Milk,Malted Milk,False,1,1,1992-07-22,1992-07-22,Unreleased,0
Sax Rohmer Number 1,Sax Rohmer Number 1,False,1,1,2026-05-22,2026-05-22,Heretic Pride,0
The Monolith,The Monolith,True,1,1,2012-09-07,2012-09-07,,1
Going to California,Going to California,False,1,1,1992-12-06,1992-12-06,Unreleased,0
Please Come Home to Hamngatan,Please Come Home to Hamngatan,False,1,1,1998-07-31,1998-07-31,We'll Sail Out Far... Maybe a Little Too Far...,0
Sometimes We Mosh,Sometimes We Mosh,False,1,1,2015-04-07,2015-04-07,Unreleased,0
Pirates (So Long Lonely Avenue),Pirates (So Long Lonely Avenue),True,1,1,1996-11-02,1996-11-02,Unreleased,0
Pinklon,Pinklon,False,1,1,2007-06-13,2007-06-13,Unreleased,0
Chilean Fire Barrel,Chilean Fire Barrel,False,1,1,1992-12-13,1992-12-13,Unreleased,0
Song for Greg Valentine,Song for Greg Valentine,False,1,1,2012-06-27,2012-06-27,Unreleased,1
Chason du Bon Chose,Chason du Bon Chose,False,1,1,2025-10-03,2025-10-03,Nine Black Poppies EP,0
Etruscans,Etruscans,False,1,1,2021-09-18,2021-09-18,Our First 100 Days,0
Song for My Sons,Song for My Sons,True,1,1,2017-06-02,2017-06-02,Unreleased,0
Personality Crisis,Personality Crisis,True,1,1,2007-11-05,2007-11-05,Unreleased,0
Song for Prince Edward III,Song for Prince Edward III,False,1,1,1996-11-07,1996-11-07,Martial Arts Weekend,0
Pennsylvania Dutch Treat,Pennsylvania Dutch Treat,False,1,1,1998-04-04,1998-04-04,Unreleased,0
Everyday People,Everyday People,True,1,1,2012-04-19,2012-04-19,Unreleased,0
Song for Ted Sallis,Song for Ted Sallis,False,1,1,2020-02-21,2020-02-21,Hex of Infinite Binding EP,0
Passaic 1975,Passaic 1975,False,1,1,2024-04-20,2024-04-20,In League with Dragons,0
Charlie Brown,Charlie Brown,True,1,1,2019-03-14,2019-03-14,Unreleased,1
Catherine Antrim’s Kid,Catherine Antrim’s Kid,False,1,1,2013-01-25,2013-01-25,All Survivors Pack,0
Parting Friends,Parting Friends,True,1,1,2012-04-02,2012-04-02,Unreleased,1
Cathedral Song,Cathedral Song,True,1,1,1996-03-16,1996-03-16,Unreleased,0
Cars Song in C,Cars Song in C,False,1,1,2016-05-12,2016-05-12,Unreleased,0
Spellbound,Spellbound,True,1,1,2014-06-27,2014-06-27,Unreleased,1
Cao Dai Blowout,Cao Dai Blowout,False,1,1,2007-06-17,2007-06-17,New Asian Cinema,0
Palisades Park,Palisades Park,True,1,1,2019-09-05,2019-09-05,Unreleased,0
Paint It Black,Paint It Black,True,1,1,2012-03-13,2012-03-13,Unreleased,0
Stable Boy Song,Stable Boy Song,False,1,1,2024-12-13,2024-12-13,Unreleased,0
Extreme South Number 1,Extreme South Number 1,False,1,1,2025-09-28,2025-09-28,Unreleased,0
Original Air-Blue Gown,Original Air-Blue Gown,False,1,1,2021-08-25,2021-08-25,Full Force Galesburg,1
Something Inside Me Has Died,Something Inside Me Has Died,False,1,1,2008-03-05,2008-03-05,Unreleased,0
Poker Face,Poker Face,False,1,1,2010-04-14,2010-04-14,Unreleased,0
Pretty In Pink,Pretty In Pink,False,1,1,2002-03-08,2002-03-08,Unreleased,0
Reel Around the Fountain,Reel Around the Fountain,True,1,1,1997-12-06,1997-12-06,Unreleased,0
Satanic Messiah (Song),Satanic Messiah (Song),False,1,1,2018-05-27,2018-05-27,Satanic Messiah EP,0
Sacrifice,Sacrifice,False,1,1,2002-10-23,2002-10-23,We Shall All Be Healed,0
Crazy Train,Crazy Train,True,1,1,2011-11-18,2011-11-18,Unreleased,1
Crazy On You,Crazy On You,True,1,1,2017-05-31,2017-05-31,Unreleased,1
Crane,Crane,False,1,1,2010-12-14,2010-12-14,"Hail and Farewell, Gothenburg",0
Run Run Rudolph,Run Run Rudolph,True,1,1,2006-12-18,2006-12-18,Unreleased,1
Dirty Old Town,Dirty Old Town,True,1,1,2024-03-20,2024-03-20,Devil in the Shortwave,0
Rock and Roll All Night,Rock and Roll All Night,False,1,1,2017-09-06,2017-09-06,Unreleased,0
Shield My Eyes Against the Glare,Shield My Eyes Against the Glare,False,1,1,2010-12-14,2010-12-14,Unreleased,0
Rivers of Babylon,Rivers of Babylon,False,1,1,2005-10-14,2005-10-14,Babylon Springs EP,0
Ribdate,Ribdate,False,1,1,1992-05-31,1992-05-31,Biographer's Ruse,0
Short Song for Justin Bieber and His Paparazzi,Short Song for Justin Bieber and His Paparazzi,False,1,1,2016-04-13,2016-04-13,Unreleased,0
"Shot, Repeatedly, At Close Range, In the Chest, By Your Love","Shot, Repeatedly, At Close Range, In the Chest, By Your Love",False,1,1,2021-09-09,2021-09-09,Unreleased,0
Prominent Metaphysicians of South Pomona,Prominent Metaphysicians of South Pomona,False,1,1,2017-11-06,2017-11-06,Unreleased,0
Don't Take the Dogs Away,Don't Take the Dogs Away,False,1,1,2014-06-15,2014-06-15,Taboo VI: The Homecoming,0
Con Todo Y Mi Tristeza,Con Todo Y Mi Tristeza,False,1,1,2016-09-01,2016-09-01,Unreleased,0
Radical Evil Song,Radical Evil Song,False,1,1,2022-05-08,2022-05-08,unreleased,1
Quién Como Tú,Quién Como Tú,True,1,1,2008-03-22,2008-03-22,Unreleased,0
Purple Rain,Purple Rain,True,1,1,2008-08-02,2008-08-02,Unreleased,0
Skeleton's Tooth,Skeleton's Tooth,False,1,1,2018-10-24,2018-10-24,unreleased,0
Slip Away from Me,Slip Away from Me,False,1,1,2010-12-14,2010-12-14,Unreleased,0
Down to the Ark,Down to the Ark,False,1,1,2008-02-02,2008-02-02,Unreleased,0
Smothered/Register/Political Man,Smothered/Register/Political Man,False,1,1,1992-05-31,1992-05-31,Biographer's Ruse,0
Snake Dance Song,Snake Dance Song,False,1,1,2017-10-12,2017-10-12,Unreleased,0
Puffin',Puffin',True,1,1,2017-11-08,2017-11-08,Unreleased,0
Christmas in Prison,Christmas in Prison,True,1,1,2006-12-18,2006-12-18,Unreleased,1
Standard Bitter Love Song #5,Standard Bitter Love Song #5,False,1,1,1992-07-22,1992-07-22,Unreleased,0
Standard Bitter Love Song #6,Standard Bitter Love Song #6,False,1,1,1992-12-06,1992-12-06,Unreleased,0
Standard Bitter Love Song Number 1,Standard Bitter Love Song Number 1,False,1,1,2022-09-09,2022-09-09,Unreleased,0
Goblin Wizard in the Crawlspace of My Heart,Goblin Wizard in the Crawlspace of My Heart,False,1,1,2019-11-15,2019-11-15,unreleased,0
The Autopsy Garland,The Autopsy Garland,False,1,1,2021-10-15,2021-10-15,All Eternals Deck,0
Garbage Eaters,Garbage Eaters,False,1,1,2004-07-17,2004-07-17,Unreleased,0
My Best Friend's Girl,My Best Friend's Girl,True,1,1,2016-12-16,2016-12-16,Unreleased,0
Mutiny in Heaven,Mutiny in Heaven,True,1,1,2004-05-27,2004-05-27,Unreleased,0
Move (Chicago 196X),Move (Chicago 196X),False,1,1,2014-06-15,2014-06-15,Taboo VI: The Homecoming,0
Mourn Not the Dead,Mourn Not the Dead,True,1,1,2022-05-20,2022-05-20,unreleased,1
The Cat Came Back,The Cat Came Back,True,1,1,2013-01-20,2013-01-20,Unreleased,0
Mountain Goats Shirt Song,Mountain Goats Shirt Song,False,1,1,2005-06-23,2005-06-23,Unreleased,0
Black Diamond,Black Diamond,False,1,1,2019-07-17,2019-07-17,Unreleased,0
Moth and Worm,Moth and Worm,False,1,1,2016-12-16,2016-12-16,Unreleased,0
The Damned,The Damned,True,1,1,2014-06-27,2014-06-27,Unreleased,0
The Day the Aliens Came,The Day the Aliens Came,False,1,1,2023-12-13,2023-12-13,"Come, Come to the Sunset Tree",0
Birthday Song (This Time Has Gone),Birthday Song (This Time Has Gone),False,1,1,1996-02-26,1996-02-26,Unreleased,0
Never Say Never,Never Say Never,False,1,1,2022-08-25,2022-08-25,Unreleased,0
Going Through Pomona,Going Through Pomona,False,1,1,2004-02-01,2004-02-01,Unreleased,0
Minor Joan Crawford Vehicle,Minor Joan Crawford Vehicle,False,1,1,2009-02-04,2009-02-04,Unreleased,1
The Great Gold Sheep,The Great Gold Sheep,False,1,1,2020-06-15,2020-06-15,Getting Into Knives,1
The Great and Terrible George Jones Car Accident of 1999,The Great and Terrible George Jones Car Accident of 1999,False,1,1,2005-03-23,2005-03-23,Unreleased,0
Bird on the Wire,Bird on the Wire,True,1,1,2017-12-03,2017-12-03,Unreleased,0
Going Underground,Going Underground,False,1,1,2019-11-16,2019-11-16,unreleased,0
Cut Your Hair,Cut Your Hair,True,1,1,1995-01-15,1995-01-15,Unreleased,0
Migrations,Migrations,True,1,1,2014-06-27,2014-06-27,Unreleased,0
The Jungle,The Jungle,False,1,1,2009-10-11,2009-10-11,Unreleased,0
The Last Place I Saw You Alive,The Last Place I Saw You Alive,False,1,1,2021-04-18,2021-04-18,Getting Into Knives,0
The Mad Clarinet,The Mad Clarinet,True,1,1,1997-04-04,1997-04-04,Unreleased,0
Going to Buffalo,Going to Buffalo,False,1,1,1995-09-21,1995-09-21,Unreleased,0
My Mask,My Mask,False,1,1,2025-10-04,2025-10-04,Unreleased,0
New London,New London,False,1,1,2023-12-06,2023-12-06,Unreleased,0
Five O'Clock,Five O'Clock,True,1,1,2007-12-09,2007-12-09,Unreleased,1
"Sugar, We're Going Down","Sugar, We're Going Down",True,1,1,2018-04-20,2018-04-20,unreleased,2
Flashing Lights,Flashing Lights,False,1,1,2016-04-13,2016-04-13,Sweden,0
Folsom Prison Blues,Folsom Prison Blues,False,1,1,2008-12-13,2008-12-13,Unreleased,0
One Winter at Point Alpha Privative,One Winter at Point Alpha Privative,False,1,1,2014-06-15,2014-06-15,Taboo VI: The Homecoming,0
One Morning in Northern Italy,One Morning in Northern Italy,False,1,1,1992-12-12,1992-12-12,Unreleased,0
For He's a Jolly Good Fellow,For He's a Jolly Good Fellow,True,1,1,2015-10-03,2015-10-03,Unreleased,0
On a Wall,On a Wall,False,1,1,1992-05-31,1992-05-31,Biographer's Ruse,0
Omega Blaster,Omega Blaster,False,1,1,2003-04-06,2003-04-06,"Yam, the King of Crops",0
Straight Six,Straight Six,False,1,1,2015-06-01,2015-06-01,Jam Eater Blues (EP),0
Stuck in Time,Stuck in Time,False,1,1,2010-12-14,2010-12-14,Unreleased,0
Okie from Muskogee,Okie from Muskogee,True,1,1,2016-05-12,2016-05-12,Unreleased,0
"Oats, Peas, Beans and Barley Grow","Oats, Peas, Beans and Barley Grow",True,1,1,2015-09-08,2015-09-08,Unreleased,0
Suffragette City,Suffragette City,True,1,1,2012-04-19,2012-04-19,Unreleased,0
