show_id,note_seq,note
2009-02-04_-_Steven_Page_Songwriter_Panel_-_Ships_and_Dip_V,1,Several songwriters that were on the Ships and Dip V cruise were at the panel; only the songs played by John Darnielle are listed here.
"2008-10-31_-_The_Foundation_-_Lubbock,_TX",1,""" Drug Life "" was on the setlist but was replaced with ""Color in Your Cheeks""."
"2006-09-29_-_Club_Europa_-_Brooklyn,_NY",1,"Songs marked with a ""*"" are performed with Franklin Bruno on piano."
"2006-09-29_-_Club_Europa_-_Brooklyn,_NY",2,"Songs marked with a ""^"" are performed with Eric Friedlander on cello."
"2008-11-01_-_Antones_-_Austin,_TX",1,Kaki King played on songs 10 through 14.
"2008-11-02_-_Granada_Theater_-_Dallas,_TX",1,"John 's solo set was songs 7 through 9, and Kaki King played on songs 10 through 14."
"2008-11-03_-_Republic_-_New_Orleans,_LA",1,"John 's solo set was songs 7 through 9, and Kaki King performed on songs 10 through 13."
"2008-11-05_-_Cat's_Cradle_-_Carrboro,_NC",1,"John 's solo set was songs 7 through 11, and Kaki King played on songs 12 through 15."
"2005-10-18_-_The_Buffalo_Icon_-_Buffalo,_NY",1,Songs 12 through 14 were played with the Prayers and Tears of Arthur Digby Sellers .
"2011-04-11_-_Wexner_Center_-_Columbus,_OH",1,John 's solo set was songs 8 through 10.
"2011-04-11_-_Wexner_Center_-_Columbus,_OH",2,Song 9 was played by request.
"2011-04-11_-_Wexner_Center_-_Columbus,_OH",3,"Yuval Semo played piano on ""Outer Scorpion Squadron""."
"1992-xx-xx_-_Munchie's_-_Pomona,_CA",1,"Comments by John Darnielle on Twitter about a tape of the show he found: ""things about this '92 Live at Munchies tape I just found: 1) no banter 2) Chino-heavy crowd goes nuts at ""Going to Chino"" 3) it's terrible"" ."
"1992-xx-xx_-_Munchie's_-_Pomona,_CA",2,There was apparently an encore .
"2013-06-03_-_9:30_Club_-_Washington,_D.C.",1,This was the opening night of the Tuttlingen Warriors Tour 2013 .
"2013-06-03_-_9:30_Club_-_Washington,_D.C.",2,Songs 11-13 and 20 were performed with John Darnielle on piano; the rest with him on guitar.
"2010-12-14_-_Castro_Theater_-_San_Francisco,_CA",1,"""First things first, though: I am playing two more shows this year. The first is live accompaniment for the film Sir Arne's Treasure, which is a Swedish silent from 1919. I'll be joined by John Vanderslice, Jamie Riotto, and Jason Slota at various points throughout the evening, and I was going to print up a whole program to explain what the whole deal is with what I'm doing but rehearsal took priority and so I'm telling you here instead: to accompany the Swedish film in which bad intentions come to bad ends, I thought I'd play and expand and elaborate on some songs from Sweden . One thing led to another, though, and I ended up synching up a few Hail and Farewell, Gothenburg songs, which is how I got the idea to start excavating a bunch of old Sweden-era notebooks, which is how I ended up finally setting to music a good handful of long-orphaned lyrics from the Sweden cycle: abandoned side-stories, extended soliloquies, muttered curses. So that is what we'll be doing: not all of Sweden, but a version of it, live, as accompaniment for Mauritz Stiller's gorgeous Swedish tale of lost treasures."" -- John Darnielle"
