song_key,song_title,n_plays,first_t,first_played,last_played,album,is_cover,opportunities,play_rate,play_rate_shrunk,deep_cut,surprisal
Warm Lonely Planet,Warm Lonely Planet,2,944,2019-07-22,2020-02-21,unreleased,False,367,0.005449591280653951,0.0067109360894506975,False,5.0040168311041455
Moon and Sand,Moon and Sand,2,17,1995-04-19,2002-10-04,Nothing for Juice,True,1294,0.0015455950540958269,0.001976508574290274,False,6.22642333711892
Positive Jam,Positive Jam,2,386,2009-06-13,2009-11-07,Unreleased,True,925,0.002162162162162162,0.0027482881128226668,False,5.896777065568107
Pure Love,Pure Love,2,14,1995-04-12,2016-10-26,Songs for Petronius,False,1297,0.0015420200462606013,0.001972006276854533,True,6.228703839817645
Early Spring,Early Spring,2,659,2014-06-05,2014-06-14,Transmissions to Horace,False,652,0.003067484662576687,0.003864780158656875,False,5.555850478597513
Oslo 1888,Oslo 1888,2,26,1996-03-16,1999-01-29,Unreleased,False,1285,0.0015564202334630351,0.0019901396679060687,True,6.219550457831158
Until Olympius Returns,Until Olympius Returns,2,998,2021-04-19,2021-10-15,Songs for Pierre Chuvin,False,313,0.006389776357827476,0.007799195995848108,False,4.8537346280548075
My Little Panda,My Little Panda,2,986,2020-02-22,2020-10-29,Unreleased,False,325,0.006153846153846154,0.007527919613383826,False,4.889136555105724
Ambivalent Landscape Z,Ambivalent Landscape Z,2,457,2010-10-19,2010-10-21,Undercard,False,854,0.00234192037470726,0.002971547215809405,True,5.8186725137299
Red River Valley,Red River Valley,2,275,2007-06-13,2007-06-17,Unreleased,True,1036,0.0019305019305019305,0.0024594055555089206,False,6.00783560234057
Exegetic Chains,Exegetic Chains,2,988,2020-06-15,2021-04-19,Songs for Pierre Chuvin,False,323,0.006191950464396285,0.007571814188388979,False,4.883322585240304
Fit Alpha Vi,Fit Alpha Vi,2,78,2000-03-05,2000-10-16,Martial Arts Weekend,False,1233,0.0016220600162206002,0.0020727312582740783,True,6.178888092970432
From the Lake Trials,From the Lake Trials,2,845,2017-09-10,2020-02-21,From the Lake Trials EP,False,466,0.004291845493562232,0.005343893552710741,False,5.231800761974858
Treetop Song,Treetop Song,2,385,2009-04-06,2021-09-18,New Asian Cinema,False,926,0.0021598272138228943,0.002745382945684376,True,5.8978347071262425
The World's Greatest,The World's Greatest,2,323,2008-03-18,2010-05-16,Unreleased,False,988,0.0020242914979757085,0.00257652010577125,True,5.961315586705678
Dragon Squeeze,Dragon Squeeze,2,753,2016-04-07,2018-08-10,Unreleased,False,558,0.0035842293906810036,0.004493308419753322,False,5.405166006746741
