song_key,song_title,n_main,n_encore,is_cover,n_tracked_plays,encore_rate,encore_rate_shrunk,eligible
The River Song,The River Song,3,1,False,4,0.25,0.22763440860215053,False
Duke Ellington,Duke Ellington,4,0,False,4,0.0,0.14430107526881722,False
Calling Out Your Name,Calling Out Your Name,4,0,True,4,0.0,0.14430107526881722,False
Stars Around Her,Stars Around Her,4,0,False,4,0.0,0.14430107526881722,False
The Day the Aliens Came (Hawaiian Feeling),The Day the Aliens Came (Hawaiian Feeling),4,0,False,4,0.0,0.14430107526881722,False
Raid on Entebbe,Raid on Entebbe,4,0,False,4,0.0,0.14430107526881722,False
Sept 19th Triple X Love! Love!,Sept 19th Triple X Love! Love!,4,0,False,4,0.0,0.14430107526881722,False
Pure Milk,Pure Milk,4,0,False,4,0.0,0.14430107526881722,False
Ontario,Ontario,4,0,False,4,0.0,0.14430107526881722,False
New Monster Avenue,New Monster Avenue,3,0,False,3,0.0,0.1574193548387097,False
Orange Ball of Love,Orange Ball of Love,2,1,False,3,0.3333333333333333,0.24832844574780058,False
Happy Birthday,Happy Birthday,1,2,True,3,0.6666666666666666,0.3392375366568915,False
It's All Here in Brownsville,It's All Here in Brownsville,3,0,False,3,0.0,0.1574193548387097,False
We Shall All Be Healed (Song),We Shall All Be Healed (Song),3,0,False,3,0.0,0.1574193548387097,False
Alpha Sun Hat,Alpha Sun Hat,3,0,False,3,0.0,0.1574193548387097,False
My Favorite Things,My Favorite Things,3,0,False,3,0.0,0.1574193548387097,False
Outer Scorpion Squadron,Outer Scorpion Squadron,3,0,False,3,0.0,0.1574193548387097,False
"No, I Can't","No, I Can't",3,0,False,3,0.0,0.1574193548387097,False
We Have Seen the Enemy,We Have Seen the Enemy,3,0,False,3,0.0,0.1574193548387097,False
Last Gasp at Calama,Last Gasp at Calama,3,0,False,3,0.0,0.1574193548387097,False
Beat the Devil,Beat the Devil,3,0,False,3,0.0,0.1574193548387097,False
Sweet Jane,Sweet Jane,0,3,True,3,1.0,0.4301466275659824,False
Going to Utrecht,Going to Utrecht,3,0,False,3,0.0,0.1574193548387097,False
Going to Maine,Going to Maine,3,0,False,3,0.0,0.1574193548387097,False
