city,n_shows,raw_mean_bits,shrunk_mean_bits,lat,lon
Louisville,6,2.746759897537528,2.6878229594757737,38.25424,-85.75941
Baltimore,10,2.7182656206923417,2.685089903019949,39.29038,-76.61219
Lititz,1,3.0039502485484944,2.683656921776018,39.95238,-75.16362
Knoxville,5,2.7473145208954866,2.6835026655317766,35.96064,-83.92074
Somerville,2,2.8353797366645614,2.6819721520764785,42.3876,-71.0995
Bethlehem,1,2.971199679324965,2.68001796964007,40.62593,-75.37046
Norfolk,1,2.9340708513866374,2.675892544313589,36.84681,-76.28522
Hoboken,1,2.8792272909613987,2.6697988153774515,40.74399,-74.03236
Ghent,1,2.8302626932931907,2.664358304525428,50.85045,4.34878
Virginia Beach,2,2.738266234462569,2.6625494516360804,36.85293,-75.97799
Woodstock,4,2.694075502049581,2.6604386713028325,40.71427,-74.00597
Lincoln,1,2.7880579189453414,2.659668885153445,40.8,-96.66696
Ventura,1,2.738766202309951,2.6541920277495126,34.27834,-119.29317
Charlotte,5,2.66878076236308,2.653297373788544,35.22709,-80.84313
WTF with Marc Maron Podcast,1,2.7242029501976326,2.6525738886259216,,
Huntsville,1,2.715144087302829,2.651567348304277,34.7304,-86.58594
Oslo,3,2.6544029105875553,2.646560979927121,59.91273,10.74609
Wellington,4,2.645029497726096,2.644090003195004,-41.28664,174.77557
South Burlington,3,2.6426849800295273,2.643365180684022,44.46699,-73.17096
Nijmegen,1,2.625251198655577,2.641579249565693,51.8425,5.85278
Brooklyn,15,2.6377022481785897,2.6397606856571527,40.6501,-73.94958
Atlanta,13,2.635552293203311,2.638625802813272,33.749,-84.38798
Leeds,9,2.6300205530899623,2.6364204132497253,53.79648,-1.54785
Utrecht,3,2.6127847458850684,2.635210571371897,52.09083,5.12222
Eau Claire,1,2.5617515997901665,2.634523738580648,44.81135,-91.49849
Lexington,2,2.5942164345821626,2.633739491659999,37.98869,-84.47772
Lewiston,1,2.5473113783747983,2.6329192695344954,40.71427,-74.00597
Asheville,12,2.623751233734831,2.631698842612682,35.60095,-82.55402
Lisbon,1,2.5289502386692995,2.6308791429005516,38.72509,-9.1498
Philadelphia,20,2.623253859610655,2.629072829987456,39.95238,-75.16362
Hanover,1,2.4835217443773256,2.6258315324236654,42.99564,-71.45479
