show_id,date,tour,n_candidates,n_played,mean_surprisal_played_bits,cross_entropy_bits
"1999-01-30_-_CD_Exchange_-_Bloomington,_IN",1999-01-30,Eastern United States Tour 1999,215.0,16.0,2.188459900076386,0.2877694304271351
"1999-07-09_-_Starfish_Room_-_Vancouver,_British_Columbia",1999-07-09,,215.0,8.0,3.0448012619025078,0.20269445861788848
"1999-07-23_-_CBGB_-_New_York_City,_NY",1999-07-23,,217.0,22.0,3.293179556034107,0.4123104911091674
"1999-10-09_-_Crossing_Border_-_Amsterdam,_The_Netherlands",1999-10-09,,220.0,8.0,3.392412044941013,0.22948018020274852
"1999-12-02_-_Columbus,_OH",1999-12-02,,223.0,8.0,3.1648529232716713,0.21879052674627741
"2000-02-06_-_The_Press_-_Claremont,_CA",2000-02-06,,223.0,10.0,3.084088551527432,0.22047951834650867
"2000-02-17_-_VPRO_Session_-_Amsterdam,_Netherlands",2000-02-17,,227.0,1.0,3.958390045010619,0.07327486612218108
"2000-03-05_-_The_Absolutely_Kosher_House_-_San_Francisco,_CA",2000-03-05,,228.0,11.0,5.710957659849879,0.3614229300282776
"2000-09-17_-_The_Make-Out_Room_-_San_Francisco,_CA",2000-09-17,,231.0,19.0,3.702776311473323,0.38111803576026865
"2000-10-15_-_Go!_Rehearsal_Studios,_Room_4_-_Carrboro,_NC",2000-10-15,,233.0,23.0,3.345660827677089,0.40433565071876987
"2000-10-16_-_Gate_City_Noise_-_Greensboro,_NC",2000-10-16,,233.0,19.0,3.416018671202494,0.35275046624867096
"2000-10-19_-_WFMU_Session_-_New_York,_NY",2000-10-19,,234.0,12.0,4.558720479345307,0.2794511975204367
"2001-02-10_-_The_Maintenance_Shop_-_Ames,_IA",2001-02-10,,237.0,16.0,3.339608206988135,0.31471031215451406
"2001-04-21_-_The_Olde_Club_-_Swarthmore,_PA",2001-04-21,,238.0,25.0,4.348786914742663,0.5379258144757718
"2001-05-04_-_Brave_New_Waves_-_CBC_Radio_Session_-_Montreal,_Quebec",2001-05-04,,244.0,1.0,3.409108601579769,0.07744065071424017
"2001-06-23_-_Bottom_of_the_Hill_-_San_Francisco,_CA",2001-06-23,,244.0,23.0,3.834198643138624,0.43810005242593997
"2001-07-19_-_Capitol_Theater_-_Olympia,_WA",2001-07-19,,245.0,8.0,3.2556834851173693,0.19297174886959437
"2001-08-03_-_40_Watt_Club_-_Athens,_GA",2001-08-03,,249.0,16.0,2.518316358397235,0.24010240380142428
"2001-10-19_-_Mission_Space_-_Baltimore,_MD",2001-10-19,,250.0,16.0,3.2495517536378733,0.29171579876381404
"2001-12-07_-_Good_Records_-_Dallas,_TX",2001-12-07,,251.0,13.0,3.117436078219614,0.24157207321996865
"2002-02-27_-_Café_du_Nord_-_San_Francisco,_CA",2002-02-27,,251.0,6.0,4.732940109282976,0.19524302599809948
